Frequency_GHz,Total_Coupling_Ant1_dB,Total_Coupling_Ant2_dB,Total_Coupling_Ant3_dB
2.15,-34.66192886777486,-33.072570940201665,-34.094120058865805
2.151,-35.31441388731236,-33.54357952017162,-34.64621247280883
2.152,-35.32630727285599,-33.23438636396433,-34.10201940312279
2.153,-35.4007182922195,-32.72344753877587,-33.72690504450442
2.154,-34.83930351897609,-33.189311044361645,-33.64727390225767
2.155,-34.70151918403549,-32.89315561763845,-33.148154976597155
2.156,-34.79474649280452,-32.32757108426404,-33.00893082780228
2.157,-34.61137790785971,-32.05581738182524,-32.82089186652903
2.158,-34.056540180566095,-32.403348330528495,-33.431960788327956
2.159,-34.39618964472579,-31.902010550766033,-32.59077184855442
2.16,-34.12058338567826,-31.65114971052535,-33.3639246750807
2.161,-33.97170568453065,-31.4189443856012,-32.717699052477776
2.162,-33.84883901317464,-31.579099401966836,-31.720061104589043
2.163,-33.64201211308385,-31.12141194177819,-31.72089864266134
2.164,-33.892685170917744,-31.35275011677464,-32.16862624429417
2.165,-32.91426753518604,-31.901297382174704,-32.03344008923679
2.166,-33.641978365756096,-30.873228910576685,-31.987473448127062
2.167,-32.426550997219636,-31.23176275457628,-32.34719470019322
2.168,-32.93132534014327,-31.263559068505327,-30.857054504102205
2.169,-32.533935069393266,-30.840459910087887,-31.50747883509299
2.17,-32.52569837862562,-30.802104687574705,-31.29185644993599
2.171,-32.49963264838281,-30.844535245836646,-31.1226423164451
2.172,-32.5548394206465,-30.870887006289372,-30.737822329406022
2.173,-32.0842272166071,-30.22663571140262,-30.13871594894685
2.174,-32.106130696367245,-30.634642996300386,-31.662679005950128
2.175,-32.31706203570001,-29.958063310535053,-31.208039332428456
2.176,-32.08484352187506,-29.767130409374772,-30.583468362477596
2.177,-31.95780282281637,-30.354054999487083,-29.9199670544232
2.178,-31.82951237831079,-29.173691360535727,-30.882451626198396
2.179,-31.96625328083862,-30.20295653722444,-29.799515523023345
2.18,-31.475162707087087,-29.82448049211311,-29.85248900063793
2.181,-31.156868903600902,-29.267690447963854,-29.173464145583775
2.182,-31.35968595670796,-29.455305344152283,-29.644678501154218
